"Sales summary - Summary
All day (12:00 AM-11:59 PM CST)",
Gross sales,"$55,443.31"
Items,"$55,443.31"
Service charges,$0.00
Returns,($228.11)
Discounts & comps,($778.07)
Net sales,"$54,437.13"
Deferred sales,$205.00
Gift card sales,$205.00
Taxes,"$5,360.92"
Tips,"$4,447.94"
Cash rounding,($0.17)
Total sales,"$64,450.82"
Total payments collected,"$64,450.82"
Card,"$60,494.79"
Cash,"$3,733.95"
Gift card redeemed,$208.59
Other,$13.49
Fees,($182.74)
Square payment processing fees,($177.60)
Square fees,($177.60)
Gift card load fees,($4.65)
Tax on gift card load fees,($0.49)
Net total,"$64,268.08"
Product sales transactions,4280
Item sales transactions,4280
Itemized returns transactions,22
Discounts transactions,416
Sales transactions,4301
Gift card sales transactions,8
Taxes transactions,4197
Tips transactions,2738
Total sales transactions,4286
Total payments collected transactions,4308
